KEY,ID_menage,crops_cult5,season_cult5,Area_cult5 (ha),QuantityProduced_cult5 (kg),Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:5b45887d-79c2-4d30-96eb-4eda5eb74476,5.25E+39,Corn,1,1,500,0.5,BIRKELANE,TOUBA M�BELLA,MBELLA OUOLOF,14.2504837,-15.6803157
uuid:05b633d4-ba23-4b92-8771-b455fb32f578,5.26E+38,Corn,1,0,75,,BIGNONA,KATABA I,KABADIO,13.046525,-16.70319167
uuid:e3b4897a-9a06-4809-90af-7644b888e6d2,5.32E+39,Corn,1,1.5,100,0.06666666667,KOLDA,SARE BIDJI,SARE MAOUDE DIAO,12.95340167,-14.97668167
uuid:ec2f2dbb-c81c-42f0-9390-32cbcf885be5,5.33E+39,Corn,1,1,900,0.9,BIRKELANE,N�DIOGNICK,SEGRE BAMBARA,14.03909667,-15.75040667
uuid:e3820f75-c3d0-4b3a-acb4-e7978fbe7ca5,5.38E+39,Corn,1,1,500,0.5,MEDINA YORO FOULAH,BADION,SARE YORO BAMBI,13.06125833,-14.400395
uuid:e39dbc4d-e78b-4a4f-b8b6-c9790ae4f54f,5.39E+39,Corn,1,1,200,0.2,KAFFRINE,KATHIOTE,TAIBA,13.93403167,-15.45905667
uuid:e4e5e89c-d0e4-46a8-89f3-a36858538f8c,5.46E+39,Corn,1,2,1500,0.75,BIRKELANE,DIAMAL,H3K.MANDIAYE,,
uuid:549403ee-80c0-4156-be45-9618c0ea5878,5.49E+39,Corn,1,1,100,0.1,KOUNGHEUL,MISSIRAH WADENE,NDAME SALY,13.821175,-15.029585
uuid:ef158c9e-ecbf-458d-940b-397f335ad6f0,5.62E+39,Corn,1,1,600,0.6,GOUDOMP,YARANG BALANTE,SINA,12.542995,-15.60551667
uuid:57b66a4b-6e36-4dbe-9252-977feac80d2f,5.73E+39,Corn,1,0.75,1000,1.333333333,VELINGARA,BONCONTO,DAROU SALAM DJIDERE (SINTHIANG DJIDERE),13.047955,-13.93751833
uuid:58c12145-d887-4469-a25c-1bb0db1cc428,5.83E+39,Corn,1,1,400,0.4,KOUNGHEUL,GAINTHE PATHE,LOUMBOL,,
uuid:e8e4780e-7bda-41c7-84ae-9db64fdc3e3e,5.85E+39,Corn,1,0,1000,,BIRKELANE,MBEULEUP,2HAMDALAYE MBEULEUP,13.91732667,-15.563065
uuid:e94b65be-4cf1-4653-a4ca-aa61fdd4c9b6,5.94E+39,Corn,1,1,400,0.4,BIRKELANE,TOUBA M�BELLA,BOUSSOLEL,14.2386625,-15.6899933
uuid:fabe7522-1acc-492b-bd81-2ebf76512e76,6.13E+39,Corn,1,2,3000,1.5,BIRKELANE,DIAMAL,NDANGANE,14.1271573,-15.7526975
uuid:fa34b85f-7b87-4562-96a4-77cdb8d92fe0,6.13E+39,Corn,1,2,1000,0.5,BIRKELANE,SEGRE GATTA,DANTA KEUR MALLA,13.9577745,-15.7546233
uuid:f19bae9b-2384-4161-babc-e73022f8d310,6.19E+39,Corn,1,1,1000,1,NIORO,PAOSKOTO,DINGUIRAYE,13.84602167,-15.85613
uuid:6bd0f002-0bda-46c8-9936-70d7105ec954,6.24E+39,Corn,1,0.5,50,0.1,BIGNONA,OULAMPANE,Oulampane,12.96249,-15.98374
uuid:6c1ecf04-a1eb-4213-8847-0c4f83cb1618,6.32E+39,Corn,1,0.2,250,1.25,KAFFRINE,KATHIOTE,TAIBA,13.93553167,-15.45996167
uuid:fcd34d44-e2b6-4a13-b4f8-104ec3c71aa1,6.34E+39,Corn,1,0.5,100,0.2,BIGNONA,TENGHORY, Tenghou arrondissement,12.8102863,-16.2250671
uuid:6ecd387d-28ba-4d86-827d-4e6527ff2053,6.53E+39,Corn,1,1,450,0.45,MEDINA YORO FOULAH,NIAMING,TOUBA MBAYENE (KEUR SEYNI),13.35787667,-14.756715
uuid:f6410ecf-1810-45e1-8a6e-066b0bdd0c5e,6.64E+39,Corn,1,2,500,0.25,MEDINA YORO FOULAH,KEREWANE,NGAYENE SENEGAL,13.39221333,-14.80944667
uuid:f818e141-53d1-4e3e-b3be-ba380c6e81b3,6.82E+39,Corn,1,0.25,40,0.16,BOUNKILING,KANDION MANGANA,Bougary Diamalathiel,12.99346333,-15.83154667
uuid:071f9e10-7c6a-4ac9-8b6c-c5e588cf5d53,7.17E+38,Corn,1,1,240,0.24,BOUNKILING,FAOUNE,Touba Mouride,13.06598167,-15.62402833
uuid:718d7424-d696-441d-a9a0-3274bb7c72b6,7.18E+39,Corn,1,2,600,0.3,NIORO,KEUR MABA DIAKHOU,KEUR THIERNO DI�YE,13.68115,-15.98394667
uuid:732e5e80-720b-40ee-94b0-fa3a8b22e102,7.33E+39,Corn,1,0.5,800,1.6,KAFFRINE,DIAMAGADIO,MEODIAWENE,13.79120667,-15.42069667
uuid:751fb0de-a796-431d-9ef7-21b420bddd7b,7.52E+39,Corn,1,1,1000,1,BIRKELANE,SEGRE GATTA,KEUR ALY MARAM,13.9823157,-15.6761273
uuid:75c31c82-ccea-4f70-8645-0759eb90fc89,7.53E+39,Corn,1,1,250,0.25,KOUNGHEUL,GAINTHE PATHE,LOUMBOL,,
uuid:7f0db895-22f9-4a13-9a5f-52c69a20715a,7.60E+39,Corn,1,1,100,0.1,VELINGARA,KANDIAYE,SARE YORO SOUDY,12.97652667,-14.07715833
uuid:7728197c-76d0-4e2f-a5c9-a86d08327dac,7.73E+39,Corn,1,1.5,1020,0.68,MEDINA YORO FOULAH,FAFACOUROU,SINTHIANG DIOMOU,13.116755,-14.56483333
uuid:79cd57bf-fd95-442c-bcc6-2992795eb475,7.93E+39,Corn,1,0.5,1000,2,KOLDA,SARE BIDJI,SARE MAOUDE DIAO,12.95393,-14.97758667
uuid:8afeb696-e9ba-418b-88b0-3d4fc4f20e0b,8.17E+39,Corn,1,0.1,100,1,BOUNKILING,FAOUNE,Touba Mouride,13.06567333,-15.62456667
uuid:830ce984-b605-4778-b2ca-a17acc83536e,8.30E+39,Corn,1,0,20,,VELINGARA,OUASSADOU,DIALAMBERE SINTHIANG,12.81824833,-14.218925
uuid:84aa6d12-1057-4e96-af56-52c04d6fd81e,8.41E+39,Corn,1,0.25,200,0.8,BOUNKILING,TANKON,TANKON,,
uuid:8685f1c4-56ea-4dff-a37f-c6bcadd06a68,8.69E+39,Corn,1,3,3000,1,MEDINA YORO FOULAH,NDORNA,MBAYENE,13.21401333,-15.06821333
uuid:87be57dd-3711-4162-8f0e-2c1a3228e9fa,8.73E+39,Corn,1,1,200,0.2,BIRKELANE,SEGRE GATTA,KEUR ALY MARAM,14.0158729,-15.7396033
uuid:9a84d1e9-f2b0-4d74-a0de-960b2b636612,9.18E+39,Corn,1,0,300,,KAFFRINE,KATHIOTE,Ngainte Gouye/Keur Sette Tabara,14.05245667,-15.57366333
uuid:09b1a35c-c2b0-4b28-bc79-3b5ea0f8faac,9.21E+38,Corn,1,1,240,0.24,MEDINA YORO FOULAH,FAFACOUROU,PADIALA SINTHIANG,13.13447,-14.54857333
uuid:952ac584-ab3f-44e5-ba53-ed3f857690df,9.52E+39,Corn,1,0.25,200,0.8,VELINGARA,SINTHIANG KOUNDARA,MEDINA AFIA,13.41689833,-13.76858333
